jurisdiction,year,ipcc_code,Product,tax,ets,tax_rate_excl_ex_clcu,tax_ex_rate,ets_price
Albania,2015,1A3D,Oil,,,,,
Albania,2015,1A3D1,Coal/peat,,,,,
Albania,2015,1A3D1,Natural gas,,,,,
Albania,2015,1A3D1,Oil,,,,,
Albania,2015,1A3D2,Coal/peat,,,,,
Albania,2015,1A3D2,Natural gas,,,,,
Albania,2015,1A3D2,Oil,,,,,
Albania,2015,1A3E,Coal/peat,,,,,
Albania,2015,1A3E,Natural gas,,,,,
Albania,2015,1A3E,Oil,,,,,
Albania,2015,1A3E1,Coal/peat,,,,,
Albania,2015,1A3E1,Natural gas,,,,,
Albania,2015,1A3E1,Oil,,,,,
Albania,2015,1A4,Coal/peat,,,,,
Albania,2015,1A4,Natural gas,,,,,
Albania,2015,1A4,Oil,,,,,
Albania,2015,1A4A,Coal/peat,,,,,
Albania,2015,1A4A,Natural gas,,,,,
Albania,2015,1A4A,Oil,,,,,
Albania,2015,1A4B,Coal/peat,,,,,
Albania,2015,1A4B,Natural gas,,,,,
Albania,2015,1A4B,Oil,,,,,
Albania,2015,1A4C,Coal/peat,,,,,
Albania,2015,1A4C,Natural gas,,,,,
Albania,2015,1A4C,Oil,,,,,
Albania,2015,1A4C1,Coal/peat,,,,,
Albania,2015,1A4C1,Natural gas,,,,,
Albania,2015,1A4C1,Oil,,,,,
Albania,2015,1A4C2,Coal/peat,,,,,
Albania,2015,1A4C2,Natural gas,,,,,
Albania,2015,1A4C2,Oil,,,,,
Albania,2015,1A4C3,Coal/peat,,,,,
Albania,2015,1A4C3,Natural gas,,,,,
Albania,2015,1A4C3,Oil,,,,,
Albania,2015,1A5,Coal/peat,,,,,
Albania,2015,1A5,Natural gas,,,,,
Albania,2015,1A5,Oil,,,,,
Albania,2015,1A5A,Coal/peat,,,,,
Albania,2015,1A5A,Natural gas,,,,,
Albania,2015,1A5A,Oil,,,,,
Albania,2015,1A5B,Coal/peat,,,,,
Albania,2015,1A5B,Natural gas,,,,,
Albania,2015,1A5B,Oil,,,,,
Albania,2015,1A5C,Coal/peat,,,,,
Albania,2015,1A5C,Natural gas,,,,,
Albania,2015,1A5C,Oil,,,,,
Albania,2015,1B,,,,,,
Albania,2015,1B1,,,,,,
Albania,2015,1B1A,,,,,,
Albania,2015,1B1A1,,,,,,
Albania,2015,1B1A11,,,,,,
Albania,2015,1B1A12,,,,,,
Albania,2015,1B1A13,,,,,,
Albania,2015,1B1A14,,,,,,
Albania,2015,1B1A2,,,,,,
Albania,2015,1B1A21,,,,,,
Albania,2015,1B1A22,,,,,,
Albania,2015,1B1B,,,,,,
Albania,2015,1B2,,,,,,
Albania,2015,1B2A,,,,,,
Albania,2015,1B2A1,,,,,,
Albania,2015,1B2A2,,,,,,
Albania,2015,1B2A3,,,,,,
Albania,2015,1B2A31,,,,,,
Albania,2015,1B2A32,,,,,,
Albania,2015,1B2A33,,,,,,
Albania,2015,1B2A34,,,,,,
Albania,2015,1B2A35,,,,,,
Albania,2015,1B2A36,,,,,,
Albania,2015,1B2B,,,,,,
Albania,2015,1B2B1,,,,,,
Albania,2015,1B2B2,,,,,,
Albania,2015,1B2B3,,,,,,
Albania,2015,1B2B31,,,,,,
Albania,2015,1B2B32,,,,,,
Albania,2015,1B2B33,,,,,,
Albania,2015,1B2B34,,,,,,
Albania,2015,1B2B35,,,,,,
Albania,2015,1B2B36,,,,,,
Albania,2015,1B3,,,,,,
Albania,2015,1C,,,,,,
Albania,2015,1C1,,,,,,
Albania,2015,1C1A,,,,,,
Albania,2015,1C1B,,,,,,
Albania,2015,1C1C,,,,,,
Albania,2015,1C2,,,,,,
Albania,2015,1C2A,,,,,,
Albania,2015,1C2B,,,,,,
Albania,2015,1C3,,,,,,
Albania,2015,2,,,,,,
Albania,2015,20,,,,,,
Albania,2015,200,,,,,,
Albania,2015,2000,,,,,,
Albania,2015,20000,,,,,,
Albania,2015,200000,,,,,,
Albania,2015,2A,,,,,,
Albania,2015,2A1,,,,,,
Albania,2015,2A2,,,,,,
Albania,2015,2A3,,,,,,
Albania,2015,2A4,,,,,,
Albania,2015,2A4A,,,,,,
Albania,2015,2A4B,,,,,,
Albania,2015,2A4C,,,,,,
Albania,2015,2A4D,,,,,,
Albania,2015,2B,,,,,,
Albania,2015,2B1,,,,,,
Albania,2015,2B10,,,,,,
Albania,2015,2B2,,,,,,
Albania,2015,2B3,,,,,,
Albania,2015,2B4,,,,,,
Albania,2015,2B5,,,,,,
Albania,2015,2B6,,,,,,
Albania,2015,2B7,,,,,,
Albania,2015,2B8,,,,,,
Albania,2015,2B8A,,,,,,
Albania,2015,2B8B,,,,,,
Albania,2015,2B8C,,,,,,
Albania,2015,2B8D,,,,,,
Albania,2015,2B8E,,,,,,
Albania,2015,2B8F,,,,,,
Albania,2015,2B9,,,,,,
Albania,2015,2B9A,,,,,,
Albania,2015,2B9B,,,,,,
Albania,2015,2C,,,,,,
Albania,2015,2C1,,,,,,
Albania,2015,2C2,,,,,,
Albania,2015,2C3,,,,,,
Albania,2015,2C4,,,,,,
Albania,2015,2C5,,,,,,
Albania,2015,2C6,,,,,,
Albania,2015,2C7,,,,,,
Albania,2015,2D,,,,,,
Albania,2015,2D1,,,,,,
Albania,2015,2D2,,,,,,
Albania,2015,2D3,,,,,,
Albania,2015,2D4,,,,,,
Albania,2015,2E,,,,,,
Albania,2015,2F,,,,,,
Albania,2015,2F1,,,,,,
Albania,2015,2F2,,,,,,
Albania,2015,2F3,,,,,,
Albania,2015,2F4,,,,,,
Albania,2015,2F5,,,,,,
Albania,2015,2F6,,,,,,
Albania,2015,2G,,,,,,
Albania,2015,2G1,,,,,,
Albania,2015,2G2,,,,,,
Albania,2015,2G3,,,,,,
Albania,2015,2G4,,,,,,
Albania,2015,2H,,,,,,
Albania,2015,2H1,,,,,,
Albania,2015,2H2,,,,,,
Albania,2015,2H3,,,,,,
Albania,2015,3,,,,,,
Albania,2015,3A,,,,,,
Albania,2015,3A1,,,,,,
Albania,2015,3A2,,,,,,
Albania,2015,3B,,,,,,
Albania,2015,3B1,,,,,,
Albania,2015,3B1A,,,,,,
Albania,2015,3B1B,,,,,,
Albania,2015,3B2,,,,,,
Albania,2015,3B2A,,,,,,
Albania,2015,3B2B,,,,,,
Albania,2015,3B3,,,,,,
Albania,2015,3B3A,,,,,,
Albania,2015,3B3B,,,,,,
Albania,2015,3B4,,,,,,
Albania,2015,3B4A,,,,,,
Albania,2015,3B4B,,,,,,
Albania,2015,3B5,,,,,,
Albania,2015,3B5A,,,,,,
Albania,2015,3B5B,,,,,,
Albania,2015,3B6,,,,,,
Albania,2015,3B6A,,,,,,
Albania,2015,3B6B,,,,,,
Albania,2015,3B6B1,,,,,,
Albania,2015,3B6B2,,,,,,
Albania,2015,3B6B3,,,,,,
Albania,2015,3B6B4,,,,,,
Albania,2015,3B6B5,,,,,,
Albania,2015,3C,,,,,,
Albania,2015,3C1,,,,,,
Albania,2015,3C2,,,,,,
Albania,2015,3C3,,,,,,
Albania,2015,3C4,,,,,,
Albania,2015,3C5,,,,,,
Albania,2015,3C6,,,,,,
Albania,2015,3C7,,,,,,
Albania,2015,3C8,,,,,,
Albania,2015,3D,,,,,,
Albania,2015,3D1,,,,,,
Albania,2015,3D2,,,,,,
Albania,2015,4,,,,,,
Albania,2015,4A,,,,,,
Albania,2015,4A1,,,,,,
Albania,2015,4A2,,,,,,
Albania,2015,4A3,,,,,,
Albania,2015,4B,,,,,,
Albania,2015,4C,,,,,,
Albania,2015,4C1,,,,,,
Albania,2015,4C2,,,,,,
Albania,2015,4D,,,,,,
Albania,2015,4D1,,,,,,
Albania,2015,4D2,,,,,,
Albania,2015,4E,,,,,,
Albania,2015,5,,,,,,
Albania,2015,5A,,,,,,
Albania,2015,5A1,,,,,,
Albania,2015,5A2,,,,,,
Albania,2016,0,,,,,,
Albania,2016,1,,,,,,
Albania,2016,1A,Coal/peat,,,,,
Albania,2016,1A,Natural gas,,,,,
Albania,2016,1A,Oil,,,,,
Albania,2016,1A1,Coal/peat,,,,,
Albania,2016,1A1,Natural gas,,,,,
Albania,2016,1A1,Oil,,,,,
Albania,2016,1A1A,Coal/peat,,,,,
Albania,2016,1A1A,Natural gas,,,,,
Albania,2016,1A1A,Oil,,,,,
Albania,2016,1A1A1,Coal/peat,,,,,
Albania,2016,1A1A1,Natural gas,,,,,
Albania,2016,1A1A1,Oil,,,,,
Albania,2016,1A1A2,Coal/peat,,,,,
Albania,2016,1A1A2,Natural gas,,,,,
Albania,2016,1A1A2,Oil,,,,,
Albania,2016,1A1A3,Coal/peat,,,,,
Albania,2016,1A1A3,Natural gas,,,,,
Albania,2016,1A1A3,Oil,,,,,
Albania,2016,1A1B,Coal/peat,,,,,
Albania,2016,1A1B,Natural gas,,,,,
Albania,2016,1A1B,Oil,,,,,
Albania,2016,1A1C,Coal/peat,,,,,
Albania,2016,1A1C,Natural gas,,,,,
Albania,2016,1A1C,Oil,,,,,
Albania,2016,1A2,Coal/peat,,,,,
Albania,2016,1A2,Natural gas,,,,,
Albania,2016,1A2,Oil,,,,,
Albania,2016,1A2A,Coal/peat,,,,,
Albania,2016,1A2A,Natural gas,,,,,
Albania,2016,1A2A,Oil,,,,,
Albania,2016,1A2B,Coal/peat,,,,,
Albania,2016,1A2B,Natural gas,,,,,
Albania,2016,1A2B,Oil,,,,,
Albania,2016,1A2C,Coal/peat,,,,,
Albania,2016,1A2C,Natural gas,,,,,
Albania,2016,1A2C,Oil,,,,,
Albania,2016,1A2D,Coal/peat,,,,,
Albania,2016,1A2D,Natural gas,,,,,
Albania,2016,1A2D,Oil,,,,,
Albania,2016,1A2E,Coal/peat,,,,,
Albania,2016,1A2E,Natural gas,,,,,
Albania,2016,1A2E,Oil,,,,,
Albania,2016,1A2F,Coal/peat,,,,,
Albania,2016,1A2F,Natural gas,,,,,
Albania,2016,1A2F,Oil,,,,,
Albania,2016,1A2G,Coal/peat,,,,,
Albania,2016,1A2G,Natural gas,,,,,
Albania,2016,1A2G,Oil,,,,,
Albania,2016,1A2H,Coal/peat,,,,,
Albania,2016,1A2H,Natural gas,,,,,
Albania,2016,1A2H,Oil,,,,,
Albania,2016,1A2I,Coal/peat,,,,,
Albania,2016,1A2I,Natural gas,,,,,
Albania,2016,1A2I,Oil,,,,,
Albania,2016,1A2J,Coal/peat,,,,,
Albania,2016,1A2J,Natural gas,,,,,
Albania,2016,1A2J,Oil,,,,,
Albania,2016,1A2K,Coal/peat,,,,,
Albania,2016,1A2K,Natural gas,,,,,
Albania,2016,1A2K,Oil,,,,,
Albania,2016,1A2L,Coal/peat,,,,,
Albania,2016,1A2L,Natural gas,,,,,
Albania,2016,1A2L,Oil,,,,,
Albania,2016,1A2M,Coal/peat,,,,,
Albania,2016,1A2M,Natural gas,,,,,
Albania,2016,1A2M,Oil,,,,,
Albania,2016,1A3,Coal/peat,,,,,
Albania,2016,1A3,Natural gas,,,,,
Albania,2016,1A3,Oil,,,,,
Albania,2016,1A3A,Coal/peat,,,,,
Albania,2016,1A3A,Natural gas,,,,,
Albania,2016,1A3A,Oil,,,,,
Albania,2016,1A3A1,Coal/peat,,,,,
Albania,2016,1A3A1,Natural gas,,,,,
Albania,2016,1A3A1,Oil,,,,,
Albania,2016,1A3A2,Coal/peat,,,,,
Albania,2016,1A3A2,Natural gas,,,,,
Albania,2016,1A3A2,Oil,,,,,
Albania,2016,1A3B,Coal/peat,,,,,
Albania,2016,1A3B,Natural gas,,,,,
Albania,2016,1A3B,Oil,,,,,
Albania,2016,1A3C,Coal/peat,,,,,
Albania,2016,1A3C,Natural gas,,,,,
Albania,2016,1A3C,Oil,,,,,
Albania,2016,1A3D,Coal/peat,,,,,
Albania,2016,1A3D,Natural gas,,,,,
Albania,2016,1A3D,Oil,,,,,
Albania,2016,1A3D1,Coal/peat,,,,,
Albania,2016,1A3D1,Natural gas,,,,,
Albania,2016,1A3D1,Oil,,,,,
Albania,2016,1A3D2,Coal/peat,,,,,
Albania,2016,1A3D2,Natural gas,,,,,
Albania,2016,1A3D2,Oil,,,,,
Albania,2016,1A3E,Coal/peat,,,,,
Albania,2016,1A3E,Natural gas,,,,,
Albania,2016,1A3E,Oil,,,,,
Albania,2016,1A3E1,Coal/peat,,,,,
Albania,2016,1A3E1,Natural gas,,,,,
Albania,2016,1A3E1,Oil,,,,,
Albania,2016,1A4,Coal/peat,,,,,
Albania,2016,1A4,Natural gas,,,,,
Albania,2016,1A4,Oil,,,,,
Albania,2016,1A4A,Coal/peat,,,,,
Albania,2016,1A4A,Natural gas,,,,,
Albania,2016,1A4A,Oil,,,,,
Albania,2016,1A4B,Coal/peat,,,,,
Albania,2016,1A4B,Natural gas,,,,,
Albania,2016,1A4B,Oil,,,,,
Albania,2016,1A4C,Coal/peat,,,,,
Albania,2016,1A4C,Natural gas,,,,,
Albania,2016,1A4C,Oil,,,,,
Albania,2016,1A4C1,Coal/peat,,,,,
Albania,2016,1A4C1,Natural gas,,,,,
Albania,2016,1A4C1,Oil,,,,,
Albania,2016,1A4C2,Coal/peat,,,,,
Albania,2016,1A4C2,Natural gas,,,,,
Albania,2016,1A4C2,Oil,,,,,
Albania,2016,1A4C3,Coal/peat,,,,,
Albania,2016,1A4C3,Natural gas,,,,,
Albania,2016,1A4C3,Oil,,,,,
Albania,2016,1A5,Coal/peat,,,,,
Albania,2016,1A5,Natural gas,,,,,
Albania,2016,1A5,Oil,,,,,
Albania,2016,1A5A,Coal/peat,,,,,
Albania,2016,1A5A,Natural gas,,,,,
Albania,2016,1A5A,Oil,,,,,
Albania,2016,1A5B,Coal/peat,,,,,
Albania,2016,1A5B,Natural gas,,,,,
Albania,2016,1A5B,Oil,,,,,
Albania,2016,1A5C,Coal/peat,,,,,
Albania,2016,1A5C,Natural gas,,,,,
Albania,2016,1A5C,Oil,,,,,
Albania,2016,1B,,,,,,
Albania,2016,1B1,,,,,,
Albania,2016,1B1A,,,,,,
Albania,2016,1B1A1,,,,,,
Albania,2016,1B1A11,,,,,,
Albania,2016,1B1A12,,,,,,
Albania,2016,1B1A13,,,,,,
Albania,2016,1B1A14,,,,,,
Albania,2016,1B1A2,,,,,,
Albania,2016,1B1A21,,,,,,
Albania,2016,1B1A22,,,,,,
Albania,2016,1B1B,,,,,,
Albania,2016,1B2,,,,,,
Albania,2016,1B2A,,,,,,
Albania,2016,1B2A1,,,,,,
Albania,2016,1B2A2,,,,,,
Albania,2016,1B2A3,,,,,,
Albania,2016,1B2A31,,,,,,
Albania,2016,1B2A32,,,,,,
Albania,2016,1B2A33,,,,,,
Albania,2016,1B2A34,,,,,,
Albania,2016,1B2A35,,,,,,
Albania,2016,1B2A36,,,,,,
Albania,2016,1B2B,,,,,,
Albania,2016,1B2B1,,,,,,
Albania,2016,1B2B2,,,,,,
Albania,2016,1B2B3,,,,,,
Albania,2016,1B2B31,,,,,,
Albania,2016,1B2B32,,,,,,
Albania,2016,1B2B33,,,,,,
Albania,2016,1B2B34,,,,,,
Albania,2016,1B2B35,,,,,,
Albania,2016,1B2B36,,,,,,
Albania,2016,1B3,,,,,,
Albania,2016,1C,,,,,,
Albania,2016,1C1,,,,,,
Albania,2016,1C1A,,,,,,
Albania,2016,1C1B,,,,,,
Albania,2016,1C1C,,,,,,
Albania,2016,1C2,,,,,,
Albania,2016,1C2A,,,,,,
Albania,2016,1C2B,,,,,,
Albania,2016,1C3,,,,,,
Albania,2016,2,,,,,,
Albania,2016,20,,,,,,
Albania,2016,200,,,,,,
Albania,2016,2000,,,,,,
Albania,2016,20000,,,,,,
Albania,2016,200000,,,,,,
Albania,2016,2A,,,,,,
Albania,2016,2A1,,,,,,
Albania,2016,2A2,,,,,,
Albania,2016,2A3,,,,,,
Albania,2016,2A4,,,,,,
Albania,2016,2A4A,,,,,,
Albania,2016,2A4B,,,,,,
Albania,2016,2A4C,,,,,,
Albania,2016,2A4D,,,,,,
Albania,2016,2B,,,,,,
Albania,2016,2B1,,,,,,
Albania,2016,2B10,,,,,,
Albania,2016,2B2,,,,,,
Albania,2016,2B3,,,,,,
Albania,2016,2B4,,,,,,
Albania,2016,2B5,,,,,,
Albania,2016,2B6,,,,,,
Albania,2016,2B7,,,,,,
Albania,2016,2B8,,,,,,
Albania,2016,2B8A,,,,,,
Albania,2016,2B8B,,,,,,
Albania,2016,2B8C,,,,,,
Albania,2016,2B8D,,,,,,
Albania,2016,2B8E,,,,,,
Albania,2016,2B8F,,,,,,
Albania,2016,2B9,,,,,,
Albania,2016,2B9A,,,,,,
Albania,2016,2B9B,,,,,,
Albania,2016,2C,,,,,,
Albania,2016,2C1,,,,,,
Albania,2016,2C2,,,,,,
Albania,2016,2C3,,,,,,
Albania,2016,2C4,,,,,,
Albania,2016,2C5,,,,,,
Albania,2016,2C6,,,,,,
Albania,2016,2C7,,,,,,
Albania,2016,2D,,,,,,
Albania,2016,2D1,,,,,,
Albania,2016,2D2,,,,,,
Albania,2016,2D3,,,,,,
Albania,2016,2D4,,,,,,
Albania,2016,2E,,,,,,
Albania,2016,2F,,,,,,
Albania,2016,2F1,,,,,,
Albania,2016,2F2,,,,,,
Albania,2016,2F3,,,,,,
Albania,2016,2F4,,,,,,
Albania,2016,2F5,,,,,,
Albania,2016,2F6,,,,,,
Albania,2016,2G,,,,,,
Albania,2016,2G1,,,,,,
Albania,2016,2G2,,,,,,
Albania,2016,2G3,,,,,,
Albania,2016,2G4,,,,,,
Albania,2016,2H,,,,,,
Albania,2016,2H1,,,,,,
Albania,2016,2H2,,,,,,
Albania,2016,2H3,,,,,,
Albania,2016,3,,,,,,
Albania,2016,3A,,,,,,
Albania,2016,3A1,,,,,,
Albania,2016,3A2,,,,,,
Albania,2016,3B,,,,,,
Albania,2016,3B1,,,,,,
Albania,2016,3B1A,,,,,,
Albania,2016,3B1B,,,,,,
Albania,2016,3B2,,,,,,
Albania,2016,3B2A,,,,,,
Albania,2016,3B2B,,,,,,
Albania,2016,3B3,,,,,,
Albania,2016,3B3A,,,,,,
Albania,2016,3B3B,,,,,,
Albania,2016,3B4,,,,,,
Albania,2016,3B4A,,,,,,
Albania,2016,3B4B,,,,,,
Albania,2016,3B5,,,,,,
Albania,2016,3B5A,,,,,,
Albania,2016,3B5B,,,,,,
Albania,2016,3B6,,,,,,
Albania,2016,3B6A,,,,,,
Albania,2016,3B6B,,,,,,
Albania,2016,3B6B1,,,,,,
Albania,2016,3B6B2,,,,,,
Albania,2016,3B6B3,,,,,,
Albania,2016,3B6B4,,,,,,
Albania,2016,3B6B5,,,,,,
Albania,2016,3C,,,,,,
Albania,2016,3C1,,,,,,
Albania,2016,3C2,,,,,,
Albania,2016,3C3,,,,,,
Albania,2016,3C4,,,,,,
Albania,2016,3C5,,,,,,
Albania,2016,3C6,,,,,,
Albania,2016,3C7,,,,,,
Albania,2016,3C8,,,,,,
Albania,2016,3D,,,,,,
Albania,2016,3D1,,,,,,
Albania,2016,3D2,,,,,,
Albania,2016,4,,,,,,
Albania,2016,4A,,,,,,
Albania,2016,4A1,,,,,,
Albania,2016,4A2,,,,,,
Albania,2016,4A3,,,,,,
Albania,2016,4B,,,,,,
Albania,2016,4C,,,,,,
Albania,2016,4C1,,,,,,
Albania,2016,4C2,,,,,,
Albania,2016,4D,,,,,,
Albania,2016,4D1,,,,,,
Albania,2016,4D2,,,,,,
Albania,2016,4E,,,,,,
Albania,2016,5,,,,,,
Albania,2016,5A,,,,,,
Albania,2016,5A1,,,,,,
Albania,2016,5A2,,,,,,
Albania,2017,0,,,,,,
Albania,2017,1,,,,,,
Albania,2017,1A,Coal/peat,,,,,
Albania,2017,1A,Natural gas,,,,,
Albania,2017,1A,Oil,,,,,
Albania,2017,1A1,Coal/peat,,,,,
Albania,2017,1A1,Natural gas,,,,,
Albania,2017,1A1,Oil,,,,,
Albania,2017,1A1A,Coal/peat,,,,,
Albania,2017,1A1A,Natural gas,,,,,
Albania,2017,1A1A,Oil,,,,,
Albania,2017,1A1A1,Coal/peat,,,,,
Albania,2017,1A1A1,Natural gas,,,,,
Albania,2017,1A1A1,Oil,,,,,
Albania,2017,1A1A2,Coal/peat,,,,,
Albania,2017,1A1A2,Natural gas,,,,,
Albania,2017,1A1A2,Oil,,,,,
Albania,2017,1A1A3,Coal/peat,,,,,
Albania,2017,1A1A3,Natural gas,,,,,
Albania,2017,1A1A3,Oil,,,,,
Albania,2017,1A1B,Coal/peat,,,,,
Albania,2017,1A1B,Natural gas,,,,,
Albania,2017,1A1B,Oil,,,,,
Albania,2017,1A1C,Coal/peat,,,,,
Albania,2017,1A1C,Natural gas,,,,,
Albania,2017,1A1C,Oil,,,,,
Albania,2017,1A2,Coal/peat,,,,,
Albania,2017,1A2,Natural gas,,,,,
Albania,2017,1A2,Oil,,,,,
Albania,2017,1A2A,Coal/peat,,,,,
Albania,2017,1A2A,Natural gas,,,,,
Albania,2017,1A2A,Oil,,,,,
Albania,2017,1A2B,Coal/peat,,,,,
Albania,2017,1A2B,Natural gas,,,,,
Albania,2017,1A2B,Oil,,,,,
Albania,2017,1A2C,Coal/peat,,,,,
Albania,2017,1A2C,Natural gas,,,,,
Albania,2017,1A2C,Oil,,,,,
Albania,2017,1A2D,Coal/peat,,,,,
Albania,2017,1A2D,Natural gas,,,,,
Albania,2017,1A2D,Oil,,,,,
Albania,2017,1A2E,Coal/peat,,,,,
Albania,2017,1A2E,Natural gas,,,,,
Albania,2017,1A2E,Oil,,,,,
Albania,2017,1A2F,Coal/peat,,,,,
Albania,2017,1A2F,Natural gas,,,,,
Albania,2017,1A2F,Oil,,,,,
Albania,2017,1A2G,Coal/peat,,,,,
Albania,2017,1A2G,Natural gas,,,,,
Albania,2017,1A2G,Oil,,,,,
Albania,2017,1A2H,Coal/peat,,,,,
Albania,2017,1A2H,Natural gas,,,,,
Albania,2017,1A2H,Oil,,,,,
Albania,2017,1A2I,Coal/peat,,,,,
Albania,2017,1A2I,Natural gas,,,,,
Albania,2017,1A2I,Oil,,,,,
Albania,2017,1A2J,Coal/peat,,,,,
Albania,2017,1A2J,Natural gas,,,,,
Albania,2017,1A2J,Oil,,,,,
Albania,2017,1A2K,Coal/peat,,,,,
Albania,2017,1A2K,Natural gas,,,,,
Albania,2017,1A2K,Oil,,,,,
Albania,2017,1A2L,Coal/peat,,,,,
Albania,2017,1A2L,Natural gas,,,,,
Albania,2017,1A2L,Oil,,,,,
Albania,2017,1A2M,Coal/peat,,,,,
Albania,2017,1A2M,Natural gas,,,,,
Albania,2017,1A2M,Oil,,,,,
Albania,2017,1A3,Coal/peat,,,,,
Albania,2017,1A3,Natural gas,,,,,
Albania,2017,1A3,Oil,,,,,
Albania,2017,1A3A,Coal/peat,,,,,
Albania,2017,1A3A,Natural gas,,,,,
Albania,2017,1A3A,Oil,,,,,
Albania,2017,1A3A1,Coal/peat,,,,,
Albania,2017,1A3A1,Natural gas,,,,,
Albania,2017,1A3A1,Oil,,,,,
Albania,2017,1A3A2,Coal/peat,,,,,
Albania,2017,1A3A2,Natural gas,,,,,
Albania,2017,1A3A2,Oil,,,,,
Albania,2017,1A3B,Coal/peat,,,,,
Albania,2017,1A3B,Natural gas,,,,,
Albania,2017,1A3B,Oil,,,,,
Albania,2017,1A3C,Coal/peat,,,,,
Albania,2017,1A3C,Natural gas,,,,,
Albania,2017,1A3C,Oil,,,,,
Albania,2017,1A3D,Coal/peat,,,,,
Albania,2017,1A3D,Natural gas,,,,,
Albania,2017,1A3D,Oil,,,,,
Albania,2017,1A3D1,Coal/peat,,,,,
Albania,2017,1A3D1,Natural gas,,,,,
Albania,2017,1A3D1,Oil,,,,,
Albania,2017,1A3D2,Coal/peat,,,,,
Albania,2017,1A3D2,Natural gas,,,,,
Albania,2017,1A3D2,Oil,,,,,
Albania,2017,1A3E,Coal/peat,,,,,
Albania,2017,1A3E,Natural gas,,,,,
Albania,2017,1A3E,Oil,,,,,
Albania,2017,1A3E1,Coal/peat,,,,,
Albania,2017,1A3E1,Natural gas,,,,,
Albania,2017,1A3E1,Oil,,,,,
Albania,2017,1A4,Coal/peat,,,,,
Albania,2017,1A4,Natural gas,,,,,
Albania,2017,1A4,Oil,,,,,
Albania,2017,1A4A,Coal/peat,,,,,
Albania,2017,1A4A,Natural gas,,,,,
Albania,2017,1A4A,Oil,,,,,
Albania,2017,1A4B,Coal/peat,,,,,
Albania,2017,1A4B,Natural gas,,,,,
Albania,2017,1A4B,Oil,,,,,
Albania,2017,1A4C,Coal/peat,,,,,
Albania,2017,1A4C,Natural gas,,,,,
Albania,2017,1A4C,Oil,,,,,
Albania,2017,1A4C1,Coal/peat,,,,,
Albania,2017,1A4C1,Natural gas,,,,,
Albania,2017,1A4C1,Oil,,,,,
Albania,2017,1A4C2,Coal/peat,,,,,
Albania,2017,1A4C2,Natural gas,,,,,
Albania,2017,1A4C2,Oil,,,,,
Albania,2017,1A4C3,Coal/peat,,,,,
Albania,2017,1A4C3,Natural gas,,,,,
Albania,2017,1A4C3,Oil,,,,,
Albania,2017,1A5,Coal/peat,,,,,
Albania,2017,1A5,Natural gas,,,,,
Albania,2017,1A5,Oil,,,,,
Albania,2017,1A5A,Coal/peat,,,,,
Albania,2017,1A5A,Natural gas,,,,,
Albania,2017,1A5A,Oil,,,,,
Albania,2017,1A5B,Coal/peat,,,,,
Albania,2017,1A5B,Natural gas,,,,,
Albania,2017,1A5B,Oil,,,,,
Albania,2017,1A5C,Coal/peat,,,,,
Albania,2017,1A5C,Natural gas,,,,,
Albania,2017,1A5C,Oil,,,,,
Albania,2017,1B,,,,,,
Albania,2017,1B1,,,,,,
Albania,2017,1B1A,,,,,,
Albania,2017,1B1A1,,,,,,
Albania,2017,1B1A11,,,,,,
Albania,2017,1B1A12,,,,,,
Albania,2017,1B1A13,,,,,,
Albania,2017,1B1A14,,,,,,
Albania,2017,1B1A2,,,,,,
Albania,2017,1B1A21,,,,,,
Albania,2017,1B1A22,,,,,,
Albania,2017,1B1B,,,,,,
Albania,2017,1B2,,,,,,
Albania,2017,1B2A,,,,,,
Albania,2017,1B2A1,,,,,,
Albania,2017,1B2A2,,,,,,
Albania,2017,1B2A3,,,,,,
Albania,2017,1B2A31,,,,,,
Albania,2017,1B2A32,,,,,,
Albania,2017,1B2A33,,,,,,
Albania,2017,1B2A34,,,,,,
Albania,2017,1B2A35,,,,,,
Albania,2017,1B2A36,,,,,,
Albania,2017,1B2B,,,,,,
Albania,2017,1B2B1,,,,,,
Albania,2017,1B2B2,,,,,,
Albania,2017,1B2B3,,,,,,
Albania,2017,1B2B31,,,,,,
Albania,2017,1B2B32,,,,,,
Albania,2017,1B2B33,,,,,,
Albania,2017,1B2B34,,,,,,
Albania,2017,1B2B35,,,,,,
Albania,2017,1B2B36,,,,,,
Albania,2017,1B3,,,,,,
Albania,2017,1C,,,,,,
Albania,2017,1C1,,,,,,
Albania,2017,1C1A,,,,,,
Albania,2017,1C1B,,,,,,
Albania,2017,1C1C,,,,,,
Albania,2017,1C2,,,,,,
Albania,2017,1C2A,,,,,,
Albania,2017,1C2B,,,,,,
Albania,2017,1C3,,,,,,
Albania,2017,2,,,,,,
Albania,2017,20,,,,,,
Albania,2017,200,,,,,,
Albania,2017,2000,,,,,,
Albania,2017,20000,,,,,,
Albania,2017,200000,,,,,,
Albania,2017,2A,,,,,,
Albania,2017,2A1,,,,,,
Albania,2017,2A2,,,,,,
Albania,2017,2A3,,,,,,
Albania,2017,2A4,,,,,,
Albania,2017,2A4A,,,,,,
Albania,2017,2A4B,,,,,,
Albania,2017,2A4C,,,,,,
Albania,2017,2A4D,,,,,,
Albania,2017,2B,,,,,,
Albania,2017,2B1,,,,,,
Albania,2017,2B10,,,,,,
Albania,2017,2B2,,,,,,
Albania,2017,2B3,,,,,,
